Weight,Height,BMI,Age,Gender,BMIcase,ActivityLevel,Goal,calories,protein,carbs,fat,bmr
50.23352307,1.803427982,15.44528869,58,Male,Severe Thinness,Lightly Active,Muscle Gain,2218,194,250,49,1344.47771945
63.52949118,1.827001938,19.03256673,41,Female,Normal,Lightly Active,Muscle Gain,2328,204,262,52,1411.17112305
58.13286102,1.829761919,17.36331034,65,Female,Moderate Thinness,Sedentary,Muscle Gain,1784,156,201,40,1238.929809575
74.61466629,1.750529237,24.34924298,55,Male,Overweight,Moderately Active,Stay Fit,2434,152,304,68,1570.2274360249999
89.71598685,1.610488223,34.59033211,46,Female,Severe Obese,Sedentary,Loss Weight,1452,109,145,48,1512.7150078749999
90.24667177,1.648706016,33.20050955,65,Female,Severe Obese,Active,Loss Weight,1997,150,200,67,1446.9079777
96.29567103,1.815337095,29.22080658,42,Male,Obese,Lightly Active,Loss Weight,2082,156,208,69,1892.5423946749997
63.04900538,1.627109073,23.81468855,27,Female,Overweight,Moderately Active,Stay Fit,2095,131,262,58,1351.433224425
75.13442246,1.610962039,28.95131795,56,Female,Obese,Sedentary,Muscle Gain,1897,166,213,42,1317.1954989749997
54.43046228,1.401962832,27.6929373,22,Female,Obese,Active,Loss Weight,1586,119,159,53,1149.5313928
67.96557741,1.799178375,20.99619347,29,Male,Normal,Sedentary,Stay Fit,1997,125,250,55,1664.142258475
72.87722611,1.8142565,22.14085862,49,Male,Normal,Moderately Active,Muscle Gain,3018,264,340,67,1622.6825735999998
100.4386578,1.797675795,31.07979594,32,Female,Obese,Moderately Active,Loss Weight,2241,168,224,75,1806.933949875
68.95487349,1.647120303,25.41641689,40,Female,Overweight,Active,Muscle Gain,2811,246,316,62,1357.9989242749998
59.73373271,1.910820192,16.35987611,54,Male,Mild Thinness,Lightly Active,Stay Fit,2099,131,262,58,1526.5999471000002
86.127112,1.668091532,30.95281339,38,Female,Obese,Lightly Active,Stay Fit,2135,133,267,59,1552.8283275
57.9826502,1.542503495,24.36945117,65,Female,Overweight,Sedentary,Stay Fit,1269,79,159,35,1057.891186375
69.6443804,1.948088477,18.35137982,48,Male,Moderate Thinness,Lightly Active,Stay Fit,2309,144,289,64,1678.999102125
59.56960815,1.402599153,30.28012048,43,Female,Obese,Moderately Active,Loss Weight,1359,102,136,45,1096.320552125
94.00141138,1.710190206,32.13997571,19,Female,Obese,Sedentary,Loss Weight,1683,126,168,56,1752.88299255
58.58150874,1.396166368,30.05288767,63,Female,Obese,Very Active,Stay Fit,1867,117,233,52,982.4190674000001
85.45909463,1.773105206,27.18249256,62,Male,Overweight,Lightly Active,Loss Weight,1824,137,182,61,1657.78170005
63.1969017,1.674269604,22.54472809,60,Female,Normal,Lightly Active,Loss Weight,1339,100,134,45,1217.3875195
65.7926542,1.846463074,19.29728243,27,Male,Normal,Sedentary,Loss Weight,1615,121,162,54,1681.9659632500002
83.55031235,1.728137415,27.97638086,55,Male,Obese,Lightly Active,Loss Weight,1810,136,181,60,1645.5890078749999
53.2688779,1.97704788,13.6282212,65,Male,Severe Thinness,Lightly Active,Stay Fit,1991,124,249,55,1448.343704
105.7346007,1.81796568,31.99232251,20,Female,Obese,Sedentary,Loss Weight,1855,139,186,62,1932.574557
88.82961783,1.64254082,32.9249748,58,Female,Severe Obese,Sedentary,Loss Weight,1405,105,140,47,1463.8841908000002
66.38289305,1.591765687,26.19979532,63,Female,Overweight,Lightly Active,Loss Weight,1301,98,130,43,1182.6824848750002
90.77067112,1.812226486,27.63889013,56,Female,Obese,Active,Loss Weight,2207,166,221,74,1599.34826495
81.98351435,1.797633171,25.37022884,30,Female,Overweight,Sedentary,Muscle Gain,2351,206,264,52,1632.3558753749999
96.94983248,1.779204642,30.62635111,30,Female,Obese,Sedentary,Loss Weight,1700,128,170,57,1770.5012260499998
60.31451426,1.464464853,28.12314775,65,Female,Obese,Moderately Active,Stay Fit,1600,100,200,44,1032.435675725
90.45969687,1.755515519,29.35254633,21,Male,Obese,Sedentary,Stay Fit,2282,143,285,63,1901.794168075
74.66153087,1.768776058,23.86443673,64,Male,Overweight,Sedentary,Stay Fit,1845,115,231,51,1537.10034495
69.27080234,1.560218124,28.45637535,64,Female,Obese,Moderately Active,Loss Weight,1472,110,147,49,1186.8443508999999
88.68304378,1.727818062,29.70602699,51,Male,Obese,Moderately Active,Loss Weight,2129,160,213,71,1716.71672655
64.7765248,1.565328744,26.43665626,64,Female,Overweight,Sedentary,Stay Fit,1374,86,172,38,1145.0957130000002
101.3123963,1.821013581,30.55175892,48,Female,Obese,Moderately Active,Stay Fit,2713,170,339,75,1750.257451125
54.56528998,1.845019101,16.02930654,61,Male,Mild Thinness,Lightly Active,Muscle Gain,2308,202,260,51,1398.789837925
78.32002015,1.843729925,23.03977222,51,Male,Overweight,Sedentary,Loss Weight,1618,121,162,54,1685.531404625
97.75390087,1.814271764,29.69815117,60,Female,Obese,Moderately Active,Loss Weight,2047,154,205,68,1650.4588611999998
100.3141511,1.96047099,26.10005135,62,Male,Overweight,Sedentary,Loss Weight,1846,138,185,62,1923.43587975
106.7964766,1.78953579,33.34848797,50,Female,Severe Obese,Moderately Active,Stay Fit,2752,172,344,76,1775.4246347500002
62.72819113,1.634488059,23.48006311,36,Female,Overweight,Lightly Active,Muscle Gain,2158,189,243,48,1307.836948175
108.9615979,1.813730679,33.12286276,44,Female,Severe Obese,Moderately Active,Loss Weight,2284,171,228,76,1842.1976533749998
71.6584568,1.96262079,18.60350011,41,Male,Normal,Moderately Active,Muscle Gain,3242,284,365,72,1743.22256175
53.05612728,1.774224345,16.8546011,64,Male,Mild Thinness,Lightly Active,Muscle Gain,2185,191,246,49,1324.4514884249998
95.31702551,1.970015757,24.56015377,26,Male,Overweight,Lightly Active,Muscle Gain,3398,297,382,76,2059.430103225
101.6180012,1.798837119,31.40414449,38,Female,Obese,Sedentary,Muscle Gain,2577,225,290,57,1789.4532113750001
91.93419368,1.693010459,32.07434446,64,Female,Obese,Sedentary,Loss Weight,1437,108,144,48,1496.4734736750002
95.62469998,1.822643097,28.78503855,33,Female,Obese,Sedentary,Loss Weight,1699,127,170,57,1769.3989354250002
50.8602608,1.883025799,14.34386015,62,Male,Severe Thinness,Active,Stay Fit,2381,149,298,66,1380.4937323749998
53.30093997,1.917194987,14.5011451,20,Male,Severe Thinness,Lightly Active,Stay Fit,2250,141,281,62,1636.2562665750002
83.95020903,1.737197876,27.81782703,57,Female,Obese,Lightly Active,Loss Weight,1627,122,163,54,1479.2507627999998
78.49331389,1.802542907,24.15802589,25,Male,Overweight,Lightly Active,Muscle Gain,2956,259,333,66,1791.522455775
64.67991229,1.851982498,18.85800151,37,Male,Normal,Lightly Active,Loss Weight,1787,134,179,60,1624.2881841499998
69.85101592,1.616389316,26.7350367,42,Female,Overweight,Sedentary,Stay Fit,1605,100,201,45,1337.7534817
58.70758438,1.665563444,21.16273776,21,Female,Normal,Active,Stay Fit,2350,147,294,65,1362.0529963000001
83.23653917,1.634835896,31.14337568,24,Female,Obese,Lightly Active,Stay Fit,2163,135,270,60,1573.1378267
107.4159742,1.775745845,34.06491089,55,Female,Severe Obese,Sedentary,Muscle Gain,2517,220,283,56,1748.0008951250002
82.24963517,1.536515913,34.83853272,37,Female,Severe Obese,Sedentary,Loss Weight,1379,103,138,46,1436.818797325
90.27242755,1.644031398,33.39911093,47,Female,Severe Obese,Moderately Active,Loss Weight,1902,143,190,63,1534.2438992500001
51.47806723,1.713962052,17.52345866,29,Male,Moderate Thinness,Lightly Active,Stay Fit,1988,124,248,55,1446.0069548000001
93.41034359,1.968127089,24.11507915,23,Male,Overweight,Lightly Active,Stay Fit,2825,177,353,78,2054.182866525
105.4136856,1.735907329,34.98194272,34,Female,Severe Obese,Sedentary,Loss Weight,1736,130,174,58,1808.078936625
78.512285,1.687032069,27.5861403,63,Female,Obese,Active,Stay Fit,2352,147,294,65,1363.5178931250002
97.30754561,1.764414963,31.2568389,30,Female,Obese,Moderately Active,Loss Weight,2188,164,219,73,1764.8348079750003
97.47846653,1.742340658,32.11016566,43,Female,Obese,Lightly Active,Stay Fit,2321,145,290,64,1687.7475765499998
66.81205156,1.701267328,23.08392657,42,Female,Overweight,Lightly Active,Stay Fit,1871,117,234,52,1360.4125955999998
91.73607063,1.735744518,30.44868414,42,Male,Obese,Lightly Active,Loss Weight,1977,148,198,66,1797.2010300499999
92.95632012,1.86257626,26.79481707,36,Male,Overweight,Sedentary,Stay Fit,2302,144,288,64,1918.6733636999998
106.0074376,1.752710445,34.50769788,63,Female,Severe Obese,Sedentary,Loss Weight,1612,121,161,54,1679.518404125
62.4665806,1.79915349,19.29795557,34,Male,Normal,Lightly Active,Stay Fit,2178,136,272,60,1584.13673725
52.38536628,1.864938275,15.06194509,31,Male,Severe Thinness,Lightly Active,Muscle Gain,2540,222,286,56,1539.440084675
96.33433054,1.852698119,28.06543399,28,Male,Obese,Moderately Active,Muscle Gain,3694,323,416,82,1986.279629775
106.9164726,1.791994679,33.29439982,34,Female,Severe Obese,Moderately Active,Stay Fit,2880,180,360,80,1858.161400375
95.00785655,1.900976895,26.29092361,26,Male,Overweight,Active,Muscle Gain,4167,365,469,93,2013.1891248749998
51.78574149,1.935099356,13.82941031,35,Male,Severe Thinness,Lightly Active,Muscle Gain,2570,225,289,57,1557.2945123999998
105.8934663,1.772080066,33.72115834,57,Male,Severe Obese,Lightly Active,Stay Fit,2594,162,324,72,1886.48470425
53.47297625,1.741531241,17.63079184,47,Female,Moderate Thinness,Lightly Active,Muscle Gain,2025,177,228,45,1227.186788125
58.02542666,1.667868682,20.85905525,54,Female,Normal,Moderately Active,Stay Fit,1847,115,231,51,1191.67219285
66.09806553,1.793133492,20.55717838,29,Male,Normal,Lightly Active,Muscle Gain,2709,237,305,60,1641.6890878
95.2721235,1.739594404,31.48254562,28,Female,Obese,Lightly Active,Loss Weight,1913,143,191,64,1738.9677375
51.69081359,1.722394456,17.42401073,37,Male,Moderate Thinness,Lightly Active,Stay Fit,1943,121,243,54,1413.4046709
109.5814644,1.86350998,31.5553974,21,Male,Obese,Sedentary,Loss Weight,2074,156,207,69,2160.5083815
105.8757364,1.927500978,28.4975307,51,Male,Obese,Sedentary,Loss Weight,1933,145,193,64,2013.44547525
66.11453211,1.895306496,18.40509344,28,Male,Moderate Thinness,Lightly Active,Muscle Gain,2823,247,318,63,1710.7118811
99.02791202,1.804451372,30.41355985,55,Male,Obese,Sedentary,Loss Weight,1774,133,177,59,1848.0612277
103.3613091,1.738031346,34.21706786,51,Female,Severe Obese,Lightly Active,Loss Weight,1874,141,187,62,1703.88268225
103.1234273,1.755417698,33.46542872,65,Male,Severe Obese,Lightly Active,Loss Weight,1989,149,199,66,1808.3703342500003
97.08357891,1.714506787,33.02686573,65,Female,Severe Obese,Moderately Active,Loss Weight,1930,145,193,64,1556.402530975
67.98750165,1.40697068,34.34464154,55,Female,Severe Obese,Sedentary,Loss Weight,1078,81,108,36,1123.2316915000001
60.4930081,1.778894539,19.11634136,47,Male,Normal,Moderately Active,Stay Fit,2304,144,288,64,1486.739167875
94.9900894,1.915579414,25.88677649,27,Male,Overweight,Moderately Active,Muscle Gain,3752,328,422,83,2017.1380277500002
105.5816072,1.805304061,32.39571359,19,Female,Obese,Moderately Active,Loss Weight,2391,179,239,80,1928.1311101249999
95.72631907,1.867232215,27.45583752,53,Male,Overweight,Sedentary,Stay Fit,2237,140,280,62,1864.283325075
52.43905642,1.42627364,25.77799628,18,Female,Overweight,Lightly Active,Stay Fit,1602,100,200,44,1164.8115892
67.10467229,1.876819331,19.05056339,37,Male,Normal,Moderately Active,Stay Fit,2579,161,322,72,1664.0588047750002
104.9959196,1.858554899,30.39636377,49,Male,Obese,Lightly Active,Loss Weight,2169,163,217,72,1971.556007875
105.045749,1.819411725,31.73339254,48,Female,Obese,Moderately Active,Loss Weight,2215,166,222,74,1786.589818125
50.78862328,1.785835476,15.92515062,46,Male,Severe Thinness,Lightly Active,Muscle Gain,2308,202,260,51,1399.0334053000001
83.63601346,1.820291016,25.24129734,25,Female,Overweight,Lightly Active,Stay Fit,2321,145,290,64,1688.0420196000002
83.52859831,1.935999968,22.28560876,42,Male,Normal,Sedentary,Stay Fit,2208,138,276,61,1840.2859631
109.0372712,1.933531333,29.16570949,37,Male,Obese,Lightly Active,Loss Weight,2331,175,233,78,2118.829795125
65.60229542,1.933772144,17.54318469,43,Male,Moderate Thinness,Lightly Active,Stay Fit,2275,142,284,63,1654.6305441999998
53.98666637,1.904013867,14.8917692,54,Male,Severe Thinness,Lightly Active,Stay Fit,2014,126,252,56,1464.8753305750001
70.66644643,1.9285212,19.00047324,64,Male,Normal,Moderately Active,Stay Fit,2475,155,309,69,1596.9902143
91.00156525,1.820250057,27.46545232,38,Male,Overweight,Moderately Active,Loss Weight,2310,173,231,77,1862.671938125
64.80628758,1.655853952,23.63595126,26,Female,Overweight,Lightly Active,Stay Fit,1914,120,239,53,1391.9715958
59.63238092,1.822203872,17.95925097,54,Male,Moderate Thinness,Lightly Active,Loss Weight,1617,121,162,54,1470.2012292
65.44790068,1.494560395,29.30007832,18,Female,Obese,Active,Loss Weight,1846,138,185,62,1337.579253675
60.98219518,1.936653032,16.25920899,55,Male,Mild Thinness,Moderately Active,Muscle Gain,2883,252,324,64,1550.2300968
57.24066826,1.778929704,18.08785723,54,Male,Moderate Thinness,Moderately Active,Stay Fit,2200,138,275,61,1419.2377476000001
94.42330404,1.835574228,28.02433336,28,Male,Obese,Active,Stay Fit,3375,211,422,94,1956.4669329000003
88.88368078,1.744276838,29.214012,34,Female,Obese,Active,Stay Fit,2843,178,355,79,1648.0098315500002
63.91822385,1.77176459,20.36163569,27,Female,Normal,Active,Stay Fit,2502,156,313,70,1450.5351072500002
100.5732492,1.751628479,32.77921024,24,Male,Severe Obese,Sedentary,Muscle Gain,2859,250,322,64,1985.5002913750004
90.03945103,1.935139305,24.04409141,55,Male,Overweight,Lightly Active,Muscle Gain,3036,266,342,67,1839.856575925
98.10584309,1.81258862,29.86045194,25,Female,Obese,Sedentary,Loss Weight,1755,132,176,58,1827.9263184000001
56.74497535,1.874571046,16.14818076,35,Male,Mild Thinness,Lightly Active,Loss Weight,1726,129,173,58,1569.0566572500002
52.89591292,1.794997362,16.41702607,23,Male,Mild Thinness,Active,Muscle Gain,3190,279,359,71,1540.83248045
64.41526446,1.527752223,27.59833904,46,Female,Obese,Very Active,Loss Weight,1836,138,184,61,1207.997783975
67.54265588,1.925715087,18.2135276,34,Male,Moderate Thinness,Lightly Active,Stay Fit,2357,147,295,65,1713.9984881749997
73.20552705,1.93157409,19.62099961,47,Male,Normal,Lightly Active,Stay Fit,2350,147,294,65,1709.28907675
81.06681029,1.849698082,23.69416415,62,Male,Overweight,Active,Stay Fit,2866,179,358,80,1661.72940415
77.35678696,1.82941354,23.11397528,25,Male,Overweight,Lightly Active,Stay Fit,2471,154,309,69,1796.9513321
103.6151997,1.747788321,33.91921574,22,Female,Severe Obese,Active,Loss Weight,2563,192,256,85,1857.519697625
98.90616464,1.782729714,31.1209148,56,Male,Obese,Lightly Active,Loss Weight,2011,151,201,67,1828.2677176500001
55.70775931,1.524309119,23.97560611,43,Female,Overweight,Lightly Active,Loss Weight,1247,94,125,42,1133.7707924750002
62.67910155,1.603190124,24.38668142,26,Female,Overweight,Moderately Active,Stay Fit,2074,130,259,58,1337.784843
50.77415579,1.826255751,15.2236755,28,Male,Severe Thinness,Lightly Active,Muscle Gain,2498,219,281,56,1514.151402275
99.56298871,1.947866321,26.24095446,42,Male,Overweight,Sedentary,Loss Weight,1928,145,193,64,2008.0463377249998
82.75809046,1.952152216,21.71616362,53,Male,Normal,Sedentary,Stay Fit,2145,134,268,60,1787.6760396
90.28189383,1.743542486,29.69857364,60,Male,Obese,Sedentary,Loss Weight,1630,122,163,54,1697.5329920499998
60.93491258,1.656871886,22.19669603,28,Female,Normal,Moderately Active,Loss Weight,1666,125,167,56,1343.89405455
95.19353323,1.753009113,30.97698169,59,Male,Obese,Lightly Active,Loss Weight,1933,145,193,64,1757.566027925
53.64549895,1.591138083,21.18934579,60,Female,Normal,Sedentary,Stay Fit,1284,80,160,36,1069.916291375
104.1598249,1.850708199,30.41055478,49,Male,Obese,Active,Stay Fit,3378,211,422,94,1958.290873375
103.238323,1.741086075,34.05653478,30,Female,Severe Obese,Sedentary,Loss Weight,1737,130,174,58,1809.562026875
58.63554142,1.807219353,17.95308976,20,Male,Moderate Thinness,Lightly Active,Muscle Gain,2674,234,301,59,1620.867509825
97.21168003,1.708176278,33.31601709,46,Male,Severe Obese,Sedentary,Loss Weight,1742,131,174,58,1814.72697405
94.28907618,1.817245734,28.5518376,26,Female,Obese,Sedentary,Stay Fit,2145,134,268,60,1787.66934555
75.72171253,1.705391461,26.03587988,49,Male,Overweight,Active,Stay Fit,2731,171,341,76,1583.0867884250001
72.23080587,1.548104676,30.13851263,35,Female,Obese,Sedentary,Loss Weight,1300,98,130,43,1353.8734811999998
103.2304313,1.819799105,31.17172581,23,Female,Obese,Lightly Active,Loss Weight,2083,156,208,69,1893.6787536250004
55.79640372,1.898968577,15.47286197,53,Male,Severe Thinness,Lightly Active,Muscle Gain,2450,214,276,54,1484.8193978250001
85.07506933,1.86947343,24.34241811,56,Male,Overweight,Active,Stay Fit,3009,188,376,84,1744.1715870500002
109.7575333,1.96284048,28.48815516,44,Male,Obese,Active,Stay Fit,3639,227,455,101,2109.350633
81.98782248,1.695779368,28.51088235,22,Female,Obese,Lightly Active,Loss Weight,1770,133,177,59,1608.7403298
63.63623983,1.701400793,21.98321706,19,Male,Normal,Moderately Active,Muscle Gain,2994,262,337,67,1609.737893925
93.58855806,1.835950331,27.76520603,39,Male,Obese,Active,Stay Fit,3266,204,408,91,1893.3545374750001
77.33767072,1.543411558,32.46591082,52,Female,Obese,Lightly Active,Stay Fit,1811,113,226,50,1317.00893095
53.81163878,1.501515177,23.86804049,64,Female,Overweight,Sedentary,Stay Fit,1195,75,149,33,995.563373425
56.26559504,1.92371886,15.20406475,49,Male,Severe Thinness,Lightly Active,Muscle Gain,2516,220,283,56,1524.9802378999998
101.0487003,1.773905756,32.1121694,43,Female,Obese,Sedentary,Loss Weight,1673,125,167,56,1743.1781005000003
90.66605755,1.741318603,29.90117483,30,Female,Obese,Moderately Active,Loss Weight,2088,157,209,70,1683.984702375
102.9920863,1.92604674,27.7632441,37,Male,Obese,Lightly Active,Loss Weight,2259,169,226,75,2053.7000755
81.42095718,1.612328119,31.32054767,48,Female,Obese,Moderately Active,Muscle Gain,2643,231,297,59,1420.9146461750001
66.87105356,1.780928012,21.08363241,33,Male,Normal,Lightly Active,Stay Fit,2230,139,279,62,1621.7905431
69.10146245,1.735028146,22.95483577,41,Female,Normal,Sedentary,Stay Fit,1691,106,211,47,1409.40721575
91.13240392,1.723265767,30.68798016,52,Male,Obese,Lightly Active,Loss Weight,1907,143,191,64,1733.365143575
70.15972384,1.715478586,23.8406048,29,Male,Overweight,Moderately Active,Muscle Gain,3039,266,342,68,1633.77135465
69.06224825,1.631689797,25.93973389,63,Female,Overweight,Moderately Active,Loss Weight,1531,115,153,51,1234.4286056249998
62.25778338,1.672479202,22.25728579,46,Female,Normal,Sedentary,Loss Weight,1226,92,123,41,1276.87733505
57.54931114,1.655223512,21.00520073,33,Female,Normal,Sedentary,Stay Fit,1541,96,193,43,1284.0078064
108.1626438,1.835743668,32.09617036,35,Male,Obese,Very Active,Loss Weight,3130,235,313,104,2058.9662305
57.83668428,1.792663776,17.99723143,54,Male,Moderate Thinness,Moderately Active,Muscle Gain,2667,233,300,59,1433.7817028
95.23364364,1.689278476,33.3724356,52,Female,Severe Obese,Lightly Active,Loss Weight,1746,131,175,58,1587.1354838999998
61.94948364,1.408163182,31.24148871,39,Female,Obese,Sedentary,Loss Weight,1098,82,110,37,1143.5968251499999
109.0883075,1.792401169,33.95531523,48,Female,Severe Obese,Moderately Active,Stay Fit,2806,175,351,78,1810.1338056249997
101.2999962,1.758357559,32.76385864,33,Male,Severe Obese,Moderately Active,Loss Weight,2420,182,242,81,1951.973436375
104.582869,1.784904218,32.82696409,19,Female,Severe Obese,Lightly Active,Stay Fit,2620,164,328,73,1905.39382625
75.09153155,1.837168384,22.24810554,57,Male,Normal,Lightly Active,Stay Fit,2226,139,278,62,1619.1455555000002
70.97886379,1.474408713,32.65075782,19,Female,Severe Obese,Lightly Active,Loss Weight,1513,113,151,50,1375.2940835250001
102.8114631,1.80877819,31.42468363,56,Female,Obese,Lightly Active,Loss Weight,1889,142,189,63,1717.6009997499996
91.95529822,1.7093653,31.47074253,53,Male,Obese,Moderately Active,Loss Weight,2143,161,214,71,1727.9062947000002
67.07346868,1.75938882,21.66841329,25,Male,Normal,Moderately Active,Stay Fit,2558,160,320,71,1650.3526993
86.7836245,1.959492743,22.6021871,20,Male,Normal,Lightly Active,Stay Fit,2747,172,343,76,1997.5192093750002
89.55922741,1.72329593,30.15717206,43,Female,Obese,Moderately Active,Loss Weight,1980,148,198,66,1596.65223035
67.26998853,1.877938402,19.07474179,23,Male,Normal,Sedentary,Loss Weight,1667,125,167,56,1736.41138655
82.62294466,1.928149678,22.22384404,23,Male,Normal,Moderately Active,Stay Fit,2978,186,372,83,1921.3229953500002
58.62078486,1.813748107,17.81958906,62,Female,Moderate Thinness,Lightly Active,Stay Fit,1717,107,215,48,1248.8004154750001
106.488416,1.840000868,31.45330681,63,Male,Obese,Very Active,Stay Fit,3619,226,452,101,1904.8847025
87.19431574,1.840369067,25.74413618,46,Male,Overweight,Lightly Active,Loss Weight,1977,148,198,66,1797.1738242749998
87.46760448,1.798166939,27.05124236,42,Male,Overweight,Sedentary,Loss Weight,1722,129,172,57,1793.530381675
98.06029143,1.950320494,25.77989895,47,Male,Overweight,Moderately Active,Loss Weight,2442,183,244,81,1969.5532230500003
88.8128956,1.893219608,24.77844465,56,Male,Overweight,Active,Stay Fit,3099,194,387,86,1796.391211
99.15328958,1.726631299,33.25890213,46,Female,Severe Obese,Very Active,Loss Weight,2553,191,255,85,1679.677457675
54.03212915,1.970858778,13.91044647,34,Male,Severe Thinness,Moderately Active,Muscle Gain,2989,262,336,66,1607.10802775
100.8338876,1.750492794,32.90681556,53,Male,Severe Obese,Sedentary,Loss Weight,1769,133,177,59,1842.39687225
109.9241893,1.887675227,30.84883152,18,Male,Obese,Sedentary,Loss Weight,2106,158,211,70,2194.038909875
70.02149988,1.846338252,20.54039896,42,Male,Normal,Lightly Active,Stay Fit,2268,142,284,63,1649.1764062999998
57.03999531,1.504400968,25.20300194,65,Female,Overweight,Active,Muscle Gain,2121,186,239,47,1024.6505581000001
54.76069912,1.73586501,18.17343767,29,Female,Moderate Thinness,Lightly Active,Loss Weight,1459,109,146,49,1326.52262245
94.0913305,1.79509647,29.19940649,33,Female,Obese,Sedentary,Stay Fit,2084,130,260,58,1736.8485987499998
85.33236205,1.777648941,27.00360647,44,Female,Overweight,Sedentary,Loss Weight,1520,114,152,51,1583.354208625
75.87631412,1.918915866,20.60603145,31,Male,Normal,Lightly Active,Stay Fit,2486,155,311,69,1808.0855574500001
